iter	Passed	Remaining
873	8816	1271
874	8826	1260
875	8837	1250
876	8846	1240
877	8856	1230
878	8864	1220
879	8872	1209
880	8881	1199
881	8890	1189
882	8901	1179
883	8911	1169
884	8921	1159
885	8929	1148
886	8937	1138
887	8946	1128
888	8954	1118
889	8965	1108
890	8975	1098
891	8985	1087
892	8994	1077
893	9003	1067
894	9012	1057
895	9021	1047
896	9029	1036
897	9038	1026
898	9050	1016
899	9061	1006
900	9073	996
901	9081	986
902	9090	976
903	9098	966
904	9107	956
905	9120	946
906	9131	936
907	9141	926
908	9150	916
909	9160	905
910	9170	895
911	9179	885
912	9190	875
913	9204	866
914	9216	856
915	9229	846
916	9241	836
917	9250	826
918	9260	816
919	9273	806
920	9283	796
921	9293	786
922	9302	776
923	9312	765
924	9320	755
925	9331	745
926	9340	735
927	9349	725
928	9358	715
929	9368	705
930	9378	695
931	9387	684
932	9396	674
933	9406	664
934	9417	654
935	9428	644
936	9437	634
937	9447	624
938	9457	614
939	9467	604
940	9477	594
941	9487	584
942	9498	574
943	9509	564
944	9518	553
945	9527	543
946	9536	533
947	9544	523
948	9554	513
949	9565	503
950	9578	493
951	9585	483
952	9595	473
953	9603	463
954	9612	452
955	9620	442
956	9630	432
957	9640	422
958	9650	412
959	9659	402
960	9668	392
961	9678	382
962	9686	372
963	9695	362
964	9705	352
965	9716	341
966	9727	331
967	9735	321
968	9743	311
969	9751	301
970	9758	291
971	9766	281
972	9775	271
973	9787	261
974	9798	251
975	9809	241
976	9821	231
977	9832	221
978	9842	211
979	9854	201
980	9870	191
981	9880	181
982	9890	171
983	9899	160
984	9911	150
985	9923	140
986	9934	130
987	9944	120
988	9956	110
989	9966	100
990	9975	90
991	9985	80
992	9994	70
993	10002	60
994	10014	50
995	10025	40
996	10035	30
997	10041	20
998	10046	10
999	10056	0

0
999	10120	0
